# Energy (keV)  Bin Flux (#/cm2) Energy width (keV) Energy left edge (keV)
1.34E-03	4.97E+09	8.00E-04	1.00E-03
2.40E-03	8.36E+09	1.40E-03	1.80E-03
4.23E-03	1.38E+10	2.40E-03	3.20E-03
7.48E-03	2.24E+10	4.40E-03	5.60E-03
1.33E-02	3.50E+10	7.80E-03	1.00E-02
2.37E-02	5.29E+10	1.38E-02	1.78E-02
4.21E-02	7.66E+10	2.46E-02	3.16E-02
7.50E-02	1.05E+11	4.38E-02	5.62E-02
1.33E-01	1.37E+11	7.78E-02	1.00E-01
2.37E-01	1.64E+11	1.38E-01	1.78E-01
4.22E-01	1.86E+11	2.46E-01	3.16E-01
7.50E-01	1.94E+11	4.38E-01	5.62E-01
1.33E+00	1.88E+11	7.78E-01	1.00E+00
2.37E+00	1.68E+11	1.38E+00	1.78E+00
4.22E+00	1.40E+11	2.46E+00	3.16E+00
7.50E+00	1.10E+11	4.38E+00	5.62E+00
1.33E+01	8.21E+10	7.78E+00	1.00E+01
2.37E+01	5.75E+10	1.38E+01	1.78E+01
4.22E+01	3.91E+10	2.46E+01	3.16E+01
7.50E+01	2.56E+10	4.38E+01	5.62E+01
1.33E+02	1.65E+10	7.78E+01	1.00E+02
2.37E+02	1.04E+10	1.38E+02	1.78E+02
4.22E+02	6.43E+09	2.46E+02	3.16E+02
7.50E+02	3.91E+09	4.38E+02	5.62E+02
1.33E+03	2.35E+09	7.78E+02	1.00E+03
2.37E+03	1.43E+09	1.38E+03	1.78E+03
4.22E+03	8.50E+08	2.46E+03	3.16E+03
7.50E+03	5.05E+08	4.38E+03	5.62E+03
