# Energy (keV)  Bin Flux (#/cm2) Energy width (keV) Energy left edge (keV)
1.58E+02	8.04E+11	1.50E+02	1.00E+02
3.54E+02	3.62E+11	2.50E+02	2.50E+02
7.07E+02	2.33E+11	5.00E+02	5.00E+02
1.41E+03	1.50E+11	1.00E+03	1.00E+03
2.65E+03	8.57E+10	1.50E+03	2.00E+03
4.18E+03	4.59E+10	1.50E+03	3.50E+03
5.96E+03	3.85E+10	2.10E+03	5.00E+03
7.54E+03	1.16E+10	9.00E+02	7.10E+03
8.49E+03	1.02E+10	1.00E+03	8.00E+03
9.49E+03	8.09E+09	1.00E+03	9.00E+03
1.26E+04	3.02E+10	6.00E+03	1.00E+04
1.70E+04	5.77E+09	2.00E+03	1.60E+04
1.90E+04	4.45E+09	2.00E+03	1.80E+04
2.24E+04	8.14E+09	5.00E+03	2.00E+04
2.96E+04	8.87E+09	1.00E+04	2.50E+04
3.74E+04	2.56E+09	5.00E+03	3.50E+04
4.24E+04	1.90E+09	5.00E+03	4.00E+04
4.74E+04	1.43E+09	5.00E+03	4.50E+04
5.96E+04	3.36E+09	2.10E+04	5.00E+04
7.54E+04	7.50E+08	9.00E+03	7.10E+04
8.49E+04	5.95E+08	1.00E+04	8.00E+04
9.49E+04	4.28E+08	1.00E+04	9.00E+04
1.26E+05	1.05E+09	6.00E+04	1.00E+05
1.70E+05	1.32E+08	2.00E+04	1.60E+05
1.90E+05	9.10E+07	2.00E+04	1.80E+05
2.24E+05	1.32E+08	5.00E+04	2.00E+05
3.16E+05	1.23E+08	1.50E+05	2.50E+05
4.47E+05	2.12E+07	1.00E+05	4.00E+05
